canton_id;canton;municipality_id;municipality;registered_voters;cast_ballots;participation_rate;blank_votes;invalid_votes;valid_ballots;yes;no;yes_perc
11;Solothurn;2529;Oekingen;635;367;57.8;3;0;364;197;167;54.1
11;Solothurn;2530;Recherswil;1'505;736;48.9;3;0;733;446;287;60.8
11;Solothurn;2532;Subingen;2'183;1'123;51.4;4;0;1'119;644;475;57.6
11;Solothurn;2534;Zuchwil;4'484;1'946;43.4;18;3;1'925;920;1'005;47.8
11;Solothurn;2535;Drei H”fe;576;339;58.9;5;0;334;181;153;54.2
11;Solothurn;2541;Balm bei Gnsberg;168;119;70.8;4;0;115;64;51;55.7
11;Solothurn;2542;Bellach;3'210;1'585;49.4;12;0;1'573;919;654;58.4
11;Solothurn;2543;Bettlach;3'433;1'647;48;10;0;1'637;966;671;59
11;Solothurn;2544;Feldbrunnen-St. Niklaus;767;514;67;4;0;510;259;251;50.8
11;Solothurn;2545;Flumenthal;802;377;47;2;0;375;211;164;56.3
11;Solothurn;2546;Grenchen;9'813;3'916;39.9;25;7;3'884;2'221;1'663;57.2
11;Solothurn;2547;Gnsberg;939;539;57.4;4;0;535;307;228;57.4
11;Solothurn;2548;Hubersdorf;564;281;49.8;2;0;279;132;147;47.3
11;Solothurn;2549;Kammersrohr;33;21;63.6;1;0;20;10;10;50
11;Solothurn;2550;Langendorf;2'651;1'468;55.4;14;0;1'454;668;786;45.9
11;Solothurn;2551;Lommiswil;1'199;680;56.7;2;0;678;373;305;55
11;Solothurn;2553;Oberdorf (SO);1'367;771;56.4;7;0;764;362;402;47.4
11;Solothurn;2554;Riedholz;1'698;929;54.7;4;2;923;466;457;50.5
11;Solothurn;2555;Rttenen;1'154;706;61.2;8;0;698;289;409;41.4
11;Solothurn;2556;Selzach;2'425;1'135;46.8;8;1;1'126;640;486;56.8
11;Solothurn;2571;Boningen;547;269;49.2;0;0;269;177;92;65.8
11;Solothurn;2572;D„niken;1'885;971;51.5;6;0;965;593;372;61.5
11;Solothurn;2573;Dulliken;2'512;1'212;48.2;7;1;1'204;664;540;55.1
11;Solothurn;2574;Eppenberg-W”schnau;188;78;41.5;0;0;78;46;32;59
11;Solothurn;2575;Fulenbach;1'279;636;49.7;5;0;631;359;272;56.9
11;Solothurn;2576;Gretzenbach;1'706;883;51.8;2;1;880;488;392;55.5
11;Solothurn;2578;Gunzgen;1'216;598;49.2;9;0;589;386;203;65.5
11;Solothurn;2579;H„gendorf;3'256;1'640;50.4;9;0;1'631;1'002;629;61.4
11;Solothurn;2580;Kappel (SO);2'116;1'110;52.5;8;0;1'102;611;491;55.4
11;Solothurn;2581;Olten;11'479;6'517;56.8;57;7;6'453;2'296;4'157;35.6
11;Solothurn;2582;Rickenbach (SO);735;364;49.5;0;0;364;205;159;56.3
11;Solothurn;2583;Sch”nenwerd;2'617;1'129;43.1;4;0;1'125;563;562;50
11;Solothurn;2584;Starrkirch-Wil;1'237;767;62;4;0;763;301;462;39.4
